dataset,train,val,test,ood_test
Marson2025_D1_Rest,901,49,50,0
Marson2025_D1_Stim48hr,0,0,0,1000
Marson2025_D1_Stim8hr,900,51,49,0
Marson2025_D2_Rest,900,51,49,0
Marson2025_D2_Stim48hr,900,50,50,0
Marson2025_D2_Stim8hr,900,50,50,0
Marson2025_D3_Rest,900,50,50,0
Marson2025_D3_Stim48hr,900,50,50,0
Marson2025_D3_Stim8hr,900,50,50,0
Marson2025_D4_Rest,900,50,50,0
Marson2025_D4_Stim48hr,899,50,51,0
Marson2025_D4_Stim8hr,901,50,49,0
ReplogleWeissman2022_K562_essential,900,50,50,0
ReplogleWeissman2022_K562_gwps,900,50,50,0
ReplogleWeissman2022_rpe1,900,50,50,0
ReplogleWeissman2025_HepG2,900,50,50,0
ReplogleWeissman2025_Jurkat,0,0,0,1000
XAtlas2025_HCT116,900,50,50,0
XAtlas2025_HEK293T,900,50,50,0
