k,perturbation_plot,broad_cluster
8,ACTB,0
8,ATP2A2,0
8,CNOT3,0
8,CSE1L,0
8,DDX46,0
8,DLD,0
8,DNMT1,0
8,EEF2,0
8,EIF1,0
8,EIF2B5,0
8,GFM1,0
8,HSPD1,0
8,INO80B,0
8,JAZF1,0
8,MAGOH,0
8,MCMBP,0
8,MED19,0
8,MRPL24,0
8,MRPL27,0
8,MRPL35,0
8,MRPL36,0
8,MRPL4,0
8,NFRKB,0
8,NUP107,0
8,PSMB5,0
8,RAC3,0
8,RGPD6,0
8,SART3,0
8,SF3A2,0
8,SIN3A,0
8,SRP68,0
8,SRP72,0
8,TARDBP,0
8,THAP1,0
8,TRNT1,0
8,TSR1,0
8,UPF2,0
8,UXS1,0
8,ALG14,1
8,CIAPIN1,1
8,CLASRP,1
8,CPSF3,1
8,E4F1,1
8,EIF2B1,1
8,EXOSC2,1
8,GRB2,1
8,GRSF1,1
8,HSD17B10,1
8,HSP90B1,1
8,ISCA2,1
8,MRPL34,1
8,MRPL38,1
8,MRPL54,1
8,MRPS28,1
8,MRPS35,1
8,MVK,1
8,NUDCD3,1
8,PABPN1,1
8,PAXBP1,1
8,PHAX,1
8,PMPCB,1
8,PSMA4,1
8,PSMG3,1
8,RABGGTA,1
8,RBMX2,1
8,RSL1D1,1
8,SSU72,1
8,TARS2,1
8,TFAM,1
8,TPT1,1
8,TTI1,1
8,UBA2,1
8,WTAP,1
8,C17orf58,2
8,CYS1,2
8,EIF2B2,2
8,INTS8,2
8,MRPL16,2
8,MRPL19,2
8,MRPL39,2
8,OGFOD1,2
8,PTMA,2
8,RPL41,2
8,SMG5,2
8,YEATS4,2
8,ANKRD11,3
8,CSNK2B,3
8,EXOSC3,3
8,GPS1,3
8,HNRNPL,3
8,HSPA8,3
8,MRPS27,3
8,SETDB1,3
8,SLC39A7,3
8,SPCS3,3
8,YEATS2,3
8,ZBTB17,3
