k,perturbation_plot,broad_cluster
2,ACTB,0
2,DDX46,0
2,EIF1,0
2,EIF2B5,0
2,JAZF1,0
2,MED19,0
2,MRPL24,0
2,NUP107,0
2,PSMB5,0
2,RAC3,0
2,RGPD6,0
2,SART3,0
2,SF3A2,0
2,SIN3A,0
2,THAP1,0
2,TRNT1,0
2,TSR1,0
2,UXS1,0
2,ATP2A2,1
2,C17orf58,1
2,CYS1,1
2,EIF2B2,1
2,GFM1,1
2,HSPD1,1
2,INTS8,1
2,MRPL16,1
2,MRPL19,1
2,MRPL39,1
2,OGFOD1,1
2,RPL41,1
2,SRP72,1
2,TARDBP,1
2,UPF2,1
2,YEATS4,1
2,EIF2B1,2
2,GRSF1,2
2,HSPA8,2
2,MRPL34,2
2,MRPL38,2
2,MRPL54,2
2,MRPS35,2
2,PABPN1,2
2,PAXBP1,2
2,PHAX,2
2,PSMG3,2
2,RABGGTA,2
2,TARS2,2
2,TPT1,2
2,TTI1,2
2,ANKRD11,3
2,CSNK2B,3
2,EXOSC2,3
2,EXOSC3,3
2,GPS1,3
2,GRB2,3
2,HNRNPL,3
2,MRPS27,3
2,SETDB1,3
2,SLC39A7,3
2,SPCS3,3
2,YEATS2,3
2,ZBTB17,3
2,CLASRP,4
2,EEF2,4
2,ISCA2,4
2,MAGOH,4
2,MRPL35,4
2,MRPL36,4
2,NFRKB,4
2,RSL1D1,4
2,SSU72,4
2,TFAM,4
2,CNOT3,5
2,CSE1L,5
2,DLD,5
2,DNMT1,5
2,INO80B,5
2,MCMBP,5
2,MRPL27,5
2,MRPL4,5
2,SRP68,5
2,ALG14,6
2,HSD17B10,6
2,HSP90B1,6
2,MRPS28,6
2,MVK,6
2,NUDCD3,6
2,PMPCB,6
2,WTAP,6
2,CIAPIN1,7
2,CPSF3,7
2,E4F1,7
2,PSMA4,7
2,RBMX2,7
2,UBA2,7
2,PTMA,8
2,SMG5,8
3,ALG14,0
3,CLASRP,0
3,EEF2,0
3,EIF2B1,0
3,GRSF1,0
3,HSD17B10,0
3,HSP90B1,0
3,HSPA8,0
3,ISCA2,0
3,MAGOH,0
3,MRPL34,0
3,MRPL35,0
3,MRPL36,0
3,MRPL38,0
3,MRPL54,0
3,MRPS28,0
3,MRPS35,0
3,MVK,0
3,NFRKB,0
3,NUDCD3,0
3,PABPN1,0
3,PAXBP1,0
3,PHAX,0
3,PMPCB,0
3,PSMG3,0
3,RABGGTA,0
3,RSL1D1,0
3,SSU72,0
3,TARS2,0
3,TFAM,0
3,TPT1,0
3,TTI1,0
3,WTAP,0
3,ACTB,1
3,CNOT3,1
3,CSE1L,1
3,DDX46,1
3,DLD,1
3,DNMT1,1
3,EIF1,1
3,EIF2B5,1
3,INO80B,1
3,JAZF1,1
3,MCMBP,1
3,MED19,1
3,MRPL24,1
3,MRPL27,1
3,MRPL4,1
3,NUP107,1
3,PSMB5,1
3,RAC3,1
