k,perturbation_plot,broad_cluster
15,ACTB,0
15,ATP2A2,0
15,C17orf58,0
15,CNOT3,0
15,CSE1L,0
15,CYS1,0
15,DDX46,0
15,DLD,0
15,DNMT1,0
15,EEF2,0
15,EIF1,0
15,EIF2B2,0
15,EIF2B5,0
15,GFM1,0
15,HSPD1,0
15,INO80B,0
15,INTS8,0
15,JAZF1,0
15,MAGOH,0
15,MCMBP,0
15,MED19,0
15,MRPL16,0
15,MRPL19,0
15,MRPL24,0
15,MRPL27,0
15,MRPL35,0
15,MRPL36,0
15,MRPL39,0
15,MRPL4,0
15,NFRKB,0
15,NUP107,0
15,OGFOD1,0
15,PSMB5,0
15,PTMA,0
15,RAC3,0
15,RGPD6,0
15,RPL41,0
15,SART3,0
15,SF3A2,0
15,SIN3A,0
15,SMG5,0
15,SRP68,0
15,SRP72,0
15,TARDBP,0
15,THAP1,0
15,TRNT1,0
15,TSR1,0
15,UPF2,0
15,UXS1,0
15,YEATS4,0
15,ALG14,1
15,ANKRD11,1
15,CIAPIN1,1
15,CLASRP,1
15,CPSF3,1
15,CSNK2B,1
15,E4F1,1
15,EIF2B1,1
15,EXOSC2,1
15,EXOSC3,1
15,GPS1,1
15,GRB2,1
15,GRSF1,1
15,HNRNPL,1
15,HSD17B10,1
15,HSP90B1,1
15,HSPA8,1
15,ISCA2,1
15,MRPL34,1
15,MRPL38,1
15,MRPL54,1
15,MRPS27,1
15,MRPS28,1
15,MRPS35,1
15,MVK,1
15,NUDCD3,1
15,PABPN1,1
15,PAXBP1,1
15,PHAX,1
15,PMPCB,1
15,PSMA4,1
15,PSMG3,1
15,RABGGTA,1
15,RBMX2,1
15,RSL1D1,1
15,SETDB1,1
15,SLC39A7,1
15,SPCS3,1
15,SSU72,1
15,TARS2,1
15,TFAM,1
15,TPT1,1
15,TTI1,1
15,UBA2,1
15,WTAP,1
15,YEATS2,1
15,ZBTB17,1
