source,target,distance,rank
EIF1,ACTB,0.030453391476074954,3
ACTB,JAZF1,0.016124804307490193,1
MED19,ACTB,0.018194840166698034,1
ACTB,MRPL36,0.018301427675524007,3
NFRKB,ACTB,0.038346129336948254,3
RAC3,ACTB,0.01932118361863233,1
RBMX2,ACTB,0.04077120830953884,3
SART3,ACTB,0.03166993913699445,3
SIN3A,ACTB,0.019674449641823966,1
TRNT1,ACTB,0.04988822344556443,1
ALG14,E4F1,0.01764316000786037,3
ALG14,HSP90B1,0.013850588562247412,1
NUDCD3,ALG14,0.026486340096872785,3
ALG14,WTAP,0.017266525961856294,2
ANKRD11,GPS1,0.015000917517517753,2
SLC39A7,ANKRD11,0.019284544627520384,2
ANKRD11,YEATS2,0.01549552713445912,3
ANKRD11,ZBTB17,0.013628732518337072,1
ATP2A2,GFM1,0.06882662279046603,1
ATP2A2,MRPL4,0.07740988378987146,3
ATP2A2,TARDBP,0.06983524898199611,2
MRPL19,C17orf58,0.22507329221765593,2
C17orf58,MRPL39,0.12383157255652921,2
OGFOD1,C17orf58,0.15458573767765627,2
C17orf58,RPL41,0.09995850397144579,1
C17orf58,YEATS4,0.13569148802103437,3
CIAPIN1,CPSF3,0.05347981147648695,2
CIAPIN1,E4F1,0.04993167436380741,1
CIAPIN1,TRNT1,0.05817342197344577,3
ISCA2,CLASRP,0.019920648926815998,1
MRPL35,CLASRP,0.023134121399450702,2
CLASRP,MRPL36,0.014026076949885558,1
CLASRP,MRPL38,0.014428910968603992,3
MRPL54,CLASRP,0.022974740661667714,2
MRPS35,CLASRP,0.01748647849474927,2
NFRKB,CLASRP,0.038012057972698354,2
PAXBP1,CLASRP,0.022544104466501125,3
RSL1D1,CLASRP,0.024374459517508495,1
SSU72,CLASRP,0.034438459852796255,1
CLASRP,TARS2,0.014268150934248158,2
TFAM,CLASRP,0.018432805299892663,1
CNOT3,MAGOH,0.04119500774033691,3
CNOT3,MCMBP,0.03942364618982086,1
CNOT3,PSMG3,0.04049257520051186,2
E4F1,CPSF3,0.0120840231455277,1
CPSF3,GRB2,0.014692450519276479,3
CPSF3,MRPS28,0.014054909248316871,2
PSMA4,CPSF3,0.03542715241669725,2
RBMX2,CPSF3,0.03805336060505615,1
TRNT1,CPSF3,0.051528540657121424,3
UBA2,CPSF3,0.021491628280081998,1
DLD,CSE1L,0.21786274316505394,1
CSE1L,MCMBP,0.03445057604002966,1
CSE1L,MRPL4,0.03521323636789142,2
CSE1L,SIN3A,0.037698590082661854,3
CSNK2B,GPS1,0.007955908958042435,1
SETDB1,CSNK2B,0.011990010891206104,3
SPCS3,CSNK2B,0.016457660894931947,3
CSNK2B,YEATS2,0.010576882228644169,3
CSNK2B,ZBTB17,0.00999636458627351,2
CYS1,EIF2B2,0.13541390968097233,1
