perturbation_plot,closest_perturbation,closest_distance,farthest_perturbation,farthest_distance
GPS1,YEATS2,0.007690210385929541,SMG5,1.8620258215112109
YEATS2,GPS1,0.007690210385929541,SMG5,1.8671142392335156
CSNK2B,GPS1,0.007955908958042435,SMG5,1.8699953171235117
ZBTB17,GPS1,0.00884882259565789,SMG5,1.8719036197545469
TARS2,MRPL38,0.009383324928048609,SMG5,1.7794135612826931
MRPL38,TARS2,0.009383324928048609,SMG5,1.8036156329057098
WTAP,HSP90B1,0.009791851859113021,SMG5,1.8026971122611388
HSP90B1,WTAP,0.009791851859113021,SMG5,1.8172203700902034
SETDB1,GPS1,0.00989051118013029,SMG5,1.8385339627034256
MRPS28,WTAP,0.011221840524701987,SMG5,1.7889860806654179
HSPA8,MRPL38,0.011534671028900045,SMG5,1.8276230524385384
CPSF3,E4F1,0.0120840231455277,SMG5,1.80327891193567
E4F1,CPSF3,0.0120840231455277,SMG5,1.8041384907553155
GRSF1,MRPL38,0.012223583449418096,SMG5,1.762708674551495
ANKRD11,ZBTB17,0.013628732518337072,SMG5,1.895195770741581
HSD17B10,MRPS28,0.013699747349375624,SMG5,1.7579775427944062
ALG14,HSP90B1,0.013850588562247412,SMG5,1.8120200604612442
TTI1,GRSF1,0.013991471760181895,SMG5,1.760772983367594
PHAX,MRPL38,0.014020582337208709,SMG5,1.783393225354304
CLASRP,MRPL36,0.014026076949885558,SMG5,1.7449021720482838
MRPL36,CLASRP,0.014026076949885558,SMG5,1.7199215403450006
GRB2,SETDB1,0.014145071015887245,SMG5,1.827958242032418
SPCS3,GPS1,0.014215169961851015,SMG5,1.86079142162074
MRPS27,SETDB1,0.014373949010804465,SMG5,1.8448433683320289
MVK,WTAP,0.014523786095122726,SMG5,1.7768757585361628
EIF2B1,MRPL38,0.014716708342971563,SMG5,1.7725053901825039
ACTB,JAZF1,0.016124804307490193,SMG5,1.705233136535341
JAZF1,ACTB,0.016124804307490193,SMG5,1.7136908902658652
MRPS35,MRPL38,0.01668208143474914,SMG5,1.749276053278217
PMPCB,WTAP,0.017220195329061716,SMG5,1.7631351096075185
SLC39A7,ZBTB17,0.01749395065943704,SMG5,1.9157736897671782
MED19,ACTB,0.018194840166698034,SMG5,1.7287849447698889
TFAM,CLASRP,0.018432805299892663,SMG5,1.7407659234644453
RAC3,ACTB,0.01932118361863233,SMG5,1.6863802286273646
PAXBP1,TARS2,0.019635867807821006,SMG5,1.7336082303637839
SIN3A,ACTB,0.019674449641823966,SMG5,1.6591497960719792
ISCA2,CLASRP,0.019920648926815998,SMG5,1.7337857443722102
MRPL35,MRPL36,0.020025072352893192,SMG5,1.6636099091542063
MRPL54,MRPS35,0.020448367393675837,SMG5,1.7162080796354435
UBA2,CPSF3,0.021491628280081998,SMG5,1.7894788056952269
MRPL4,MCMBP,0.02277360437380238,SMG5,1.572756327424571
MCMBP,MRPL4,0.02277360437380238,SMG5,1.59265314398927
EXOSC3,GPS1,0.022831680989671144,SMG5,1.8518464419925609
PSMB5,SIN3A,0.024161826292119604,SMG5,1.5986640199147977
RSL1D1,CLASRP,0.024374459517508495,SMG5,1.7348456424374135
EIF1,SIN3A,0.02451402115303536,SMG5,1.6144718615774774
SF3A2,SIN3A,0.02493999879651354,SMG5,1.6353762431233942
NUDCD3,HSP90B1,0.025956534170673007,SMG5,1.8162960511835746
PABPN1,TTI1,0.026612190759066623,SMG5,1.7340986105188114
