,perturbation_name,perturbation_label,feature_space,UMAP1,UMAP2
EIF1,EIF1,0,decoded KeepingSCORE gene-space delta vs control,10.204751,-1.5616314
PSMB5,PSMB5,1,decoded KeepingSCORE gene-space delta vs control,9.860748,-1.2244074
ANKRD11,ANKRD11,2,decoded KeepingSCORE gene-space delta vs control,16.89449,-1.0782219
PTMA,PTMA,3,decoded KeepingSCORE gene-space delta vs control,6.857275,0.11910373
NFRKB,NFRKB,4,decoded KeepingSCORE gene-space delta vs control,11.755254,-1.8320277
HSP90B1,HSP90B1,5,decoded KeepingSCORE gene-space delta vs control,14.822658,-1.6384408
TFAM,TFAM,6,decoded KeepingSCORE gene-space delta vs control,12.628688,-1.2037587
CSNK2B,CSNK2B,7,decoded KeepingSCORE gene-space delta vs control,16.433973,-0.994826
C17orf58,C17orf58,8,decoded KeepingSCORE gene-space delta vs control,7.185756,-0.9289687
MED19,MED19,9,decoded KeepingSCORE gene-space delta vs control,12.232889,-1.1364162
SETDB1,SETDB1,10,decoded KeepingSCORE gene-space delta vs control,15.655601,-1.3226295
UXS1,UXS1,11,decoded KeepingSCORE gene-space delta vs control,9.394445,0.13534777
ACTB,ACTB,12,decoded KeepingSCORE gene-space delta vs control,11.400557,-0.6378057
WTAP,WTAP,13,decoded KeepingSCORE gene-space delta vs control,14.242432,-1.554895
YEATS2,YEATS2,14,decoded KeepingSCORE gene-space delta vs control,16.24835,-1.5591908
RPL41,RPL41,15,decoded KeepingSCORE gene-space delta vs control,7.6687136,-0.5231721
MRPS28,MRPS28,16,decoded KeepingSCORE gene-space delta vs control,13.471218,-1.0340817
SIN3A,SIN3A,17,decoded KeepingSCORE gene-space delta vs control,10.573009,-1.2493837
HSPA8,HSPA8,18,decoded KeepingSCORE gene-space delta vs control,15.411549,-2.164601
GRSF1,GRSF1,19,decoded KeepingSCORE gene-space delta vs control,13.531696,-3.5383222
RAC3,RAC3,20,decoded KeepingSCORE gene-space delta vs control,11.335385,-1.3592342
ATP2A2,ATP2A2,21,decoded KeepingSCORE gene-space delta vs control,8.703398,-2.9595659
GRB2,GRB2,22,decoded KeepingSCORE gene-space delta vs control,15.045033,-0.8049114
